frame_idx,timestamp,action
0,1771664034.308061,NONE
1,1771664034.397866,NONE
2,1771664034.464621,NONE
3,1771664034.531320,NONE
4,1771664034.599133,NONE
5,1771664034.666119,NONE
6,1771664034.733259,NONE
7,1771664034.801239,NONE
8,1771664034.868270,NONE
9,1771664034.936317,NONE
10,1771664035.003075,NONE
11,1771664035.069834,NONE
12,1771664035.137186,NONE
13,1771664035.204738,NONE
14,1771664035.271721,NONE
15,1771664035.339349,NONE
16,1771664035.406976,NONE
17,1771664035.475043,NONE
18,1771664035.542986,NONE
19,1771664035.610370,NONE
20,1771664035.677288,NONE
21,1771664035.745125,NONE
22,1771664035.812801,NONE
23,1771664035.880551,NONE
24,1771664035.948688,NONE
25,1771664036.015675,NONE
26,1771664036.083399,NONE
27,1771664036.150664,NONE
28,1771664036.218307,NONE
29,1771664036.285533,NONE
30,1771664036.352428,NONE
31,1771664036.419790,NONE
32,1771664036.487895,NONE
33,1771664036.555069,NONE
34,1771664036.623099,NONE
35,1771664036.690621,NONE
36,1771664036.757767,NONE
37,1771664036.825293,NONE
38,1771664036.892805,NONE
39,1771664036.959610,NONE
40,1771664037.026477,NONE
41,1771664037.093477,NONE
42,1771664037.161253,NONE
43,1771664037.228203,NONE
44,1771664037.295137,NONE
45,1771664037.362553,NONE
46,1771664037.464208,NONE
47,1771664037.531700,NONE
48,1771664037.599125,NONE
49,1771664037.665934,NONE
50,1771664037.733972,NONE
51,1771664037.801301,NONE
52,1771664037.868187,NONE
53,1771664037.935822,NONE
54,1771664038.003871,NONE
55,1771664038.071279,NONE
56,1771664038.138086,NONE
57,1771664038.206146,NONE
58,1771664038.303340,NONE
59,1771664038.370232,NONE
60,1771664038.437119,NONE
61,1771664038.503917,NONE
62,1771664038.571911,NONE
63,1771664038.638838,NONE
64,1771664038.706553,NONE
65,1771664038.774200,NONE
66,1771664038.842324,NONE
67,1771664038.909029,NONE
68,1771664038.976136,NONE
69,1771664039.043913,NONE
70,1771664039.111666,NONE
71,1771664039.179310,NONE
72,1771664039.246848,NONE
73,1771664039.314737,NONE
74,1771664039.382247,NONE
75,1771664039.450035,NONE
76,1771664039.517371,NONE
77,1771664039.585202,NONE
78,1771664039.651939,NONE
79,1771664039.719619,NONE
80,1771664039.786811,NONE
81,1771664039.854183,NONE
82,1771664039.922358,NONE
83,1771664039.990519,NONE
84,1771664040.057785,NONE
85,1771664040.124858,NONE
86,1771664040.192168,NONE
87,1771664040.260205,NONE
88,1771664040.328331,NONE
89,1771664040.395185,NONE
90,1771664040.462425,NONE
91,1771664040.529170,NONE
92,1771664060.327974,NONE
93,1771664060.404884,NONE
94,1771664060.473169,NONE
95,1771664060.540928,NONE
96,1771664060.609122,NONE
97,1771664060.677211,NONE
98,1771664060.745100,NONE
99,1771664060.812538,NONE
100,1771664060.879662,NONE
101,1771664060.947128,NONE
102,1771664061.013967,NONE
103,1771664061.081603,NONE
104,1771664061.148347,NONE
105,1771664061.216554,NONE
106,1771664061.283415,NONE
107,1771664061.350240,NONE
108,1771664061.418459,NONE
109,1771664061.485465,NONE
110,1771664061.552263,NONE
111,1771664061.619486,NONE
112,1771664061.686966,NONE
113,1771664061.754584,NONE
114,1771664061.822042,NONE
115,1771664061.888923,NONE
116,1771664061.957071,NONE
117,1771664062.024659,NONE
118,1771664062.092508,NONE
119,1771664062.160168,NONE
120,1771664062.227329,NONE
121,1771664062.295042,NONE
122,1771664062.362309,NONE
123,1771664062.429481,NONE
124,1771664062.496265,NONE
125,1771664062.563400,NONE
126,1771664062.630968,NONE
127,1771664062.698700,NONE
128,1771664062.766660,NONE
129,1771664062.833694,NONE
130,1771664062.900554,NONE
131,1771664062.967236,NONE
132,1771664063.035080,NONE
133,1771664063.103271,NONE
134,1771664063.170232,NONE
135,1771664063.238285,NONE
136,1771664063.305822,NONE
137,1771664063.373764,NONE
138,1771664063.441655,NONE
139,1771664063.508558,NONE
140,1771664063.575372,NONE
141,1771664063.642220,NONE
142,1771664063.709324,NONE
143,1771664063.776830,NONE
144,1771664063.844862,NONE
145,1771664063.912724,NONE
146,1771664063.980417,NONE
147,1771664064.047102,NONE
148,1771664064.115300,NONE
149,1771664064.181981,NONE
150,1771664064.250001,NONE
151,1771664064.316670,NONE
152,1771664064.384088,NONE
153,1771664064.451504,NONE
154,1771664064.519598,NONE
155,1771664064.587619,NONE
156,1771664064.654315,NONE
157,1771664064.721691,NONE
158,1771664064.788419,NONE
159,1771664064.855313,NONE
160,1771664064.922826,NONE
161,1771664064.990348,NONE
162,1771664065.058014,NONE
163,1771664065.125136,NONE
164,1771664065.192052,NONE
165,1771664065.259819,NONE
166,1771664065.326574,NONE
167,1771664065.393560,NONE
168,1771664065.461191,NONE
169,1771664065.528303,NONE
170,1771664065.596076,NONE
171,1771664065.663524,NONE
172,1771664065.730882,NONE
173,1771664065.798099,NONE
174,1771664065.864777,NONE
175,1771664065.931768,NONE
176,1771664065.998673,NONE
177,1771664066.066017,NONE
178,1771664066.133605,NONE
179,1771664066.200606,NONE
180,1771664066.267801,NONE
181,1771664066.336030,NONE
182,1771664066.404000,NONE
183,1771664066.471479,NONE
184,1771664066.539535,NONE
185,1771664066.606878,NONE
186,1771664066.674602,NONE
187,1771664066.741820,NONE
188,1771664066.808599,NONE
189,1771664066.876555,NONE
190,1771664066.943889,NONE
191,1771664067.011862,NONE
192,1771664067.079890,NONE
193,1771664067.146917,NONE
194,1771664067.214285,NONE
195,1771664067.280981,NONE
196,1771664067.348281,NONE
197,1771664067.416123,NONE
198,1771664067.483686,NONE
199,1771664067.551075,NONE
200,1771664067.618390,NONE
201,1771664067.685464,NONE
202,1771664067.752178,NONE
203,1771664067.819055,NONE
204,1771664067.886211,NONE
205,1771664067.953504,NONE
206,1771664068.021444,NONE
207,1771664068.089556,NONE
208,1771664068.156916,NONE
209,1771664068.224771,NONE
210,1771664068.291913,NONE
211,1771664068.359181,NONE
212,1771664068.426353,NONE
213,1771664068.493474,NONE
214,1771664068.560715,NONE
215,1771664068.627849,NONE
216,1771664068.695331,NONE
217,1771664068.763393,NONE
218,1771664068.830257,NONE
219,1771664068.898193,NONE
220,1771664068.964869,NONE
221,1771664069.032425,NONE
222,1771664069.099501,NONE
223,1771664069.167008,NONE
224,1771664069.234788,NONE
225,1771664069.302477,NONE
226,1771664069.370273,NONE
227,1771664069.437448,NONE
228,1771664069.504913,NONE
229,1771664069.572163,NONE
230,1771664069.640017,NONE
231,1771664069.707005,NONE
232,1771664069.773672,NONE
233,1771664069.840613,NONE
234,1771664069.908409,NONE
235,1771664069.975322,NONE
236,1771664070.042708,NONE
237,1771664070.109869,NONE
238,1771664070.177960,NONE
239,1771664070.245075,NONE
240,1771664070.312715,NONE
241,1771664070.380115,NONE
242,1771664070.447811,NONE
243,1771664070.514916,NONE
244,1771664070.582106,NONE
245,1771664070.649147,NONE
246,1771664070.716724,NONE
247,1771664070.783792,NONE
248,1771664070.851232,NONE
249,1771664070.918010,NONE
250,1771664070.985586,NONE
251,1771664071.052303,NONE
252,1771664071.119653,NONE
253,1771664071.186954,NONE
254,1771664071.253965,NONE
255,1771664071.321882,NONE
256,1771664071.389840,NONE
257,1771664071.457457,NONE
258,1771664071.524841,NONE
259,1771664071.592547,NONE
260,1771664071.660276,NONE
261,1771664071.727257,NONE
262,1771664071.794930,NONE
263,1771664071.861946,NONE
264,1771664071.929520,NONE
265,1771664071.996459,NONE
266,1771664072.063512,NONE
267,1771664072.131534,NONE
268,1771664072.198650,NONE
269,1771664072.266180,NONE
270,1771664072.334108,NONE
271,1771664072.401976,NONE
272,1771664072.469587,NONE
273,1771664072.537382,NONE
274,1771664072.604134,NONE
275,1771664072.672252,NONE
276,1771664072.738940,NONE
277,1771664072.806555,NONE
278,1771664072.873542,NONE
279,1771664072.941504,NONE
280,1771664073.008807,NONE
281,1771664073.076206,NONE
282,1771664073.144197,NONE
283,1771664073.212160,NONE
284,1771664073.280172,NONE
285,1771664073.348335,NONE
286,1771664073.416096,NONE
287,1771664073.483004,NONE
288,1771664073.550558,NONE
289,1771664073.617350,NONE
290,1771664073.685008,NONE
291,1771664073.751737,NONE
292,1771664073.818990,NONE
293,1771664073.887149,NONE
294,1771664073.955145,NONE
295,1771664074.023354,NONE
296,1771664074.090716,NONE
297,1771664074.157624,NONE
298,1771664074.225519,NONE
299,1771664074.293489,NONE
300,1771664074.360269,NONE
301,1771664074.427343,NONE
302,1771664074.494900,NONE
303,1771664074.562114,NONE
304,1771664074.629719,NONE
305,1771664074.696675,NONE
306,1771664074.764443,NONE
307,1771664074.831286,NONE
308,1771664074.898732,NONE
309,1771664074.966015,NONE
310,1771664075.033067,NONE
311,1771664075.101248,NONE
312,1771664075.168530,NONE
313,1771664075.236470,NONE
314,1771664075.304089,NONE
315,1771664075.371930,NONE
316,1771664075.440006,NONE
317,1771664075.506988,NONE
318,1771664075.574501,NONE
319,1771664075.642468,NONE
320,1771664075.710392,NONE
321,1771664075.777295,NONE
322,1771664075.844639,NONE
323,1771664075.911838,NONE
324,1771664075.979215,NONE
325,1771664076.046453,NONE
326,1771664076.113844,NONE
327,1771664076.180890,NONE
328,1771664076.248321,NONE
329,1771664076.315369,NONE
330,1771664076.382396,NONE
331,1771664076.449300,NONE
332,1771664076.516793,NONE
333,1771664076.583613,LEFT
334,1771664076.651481,NONE
335,1771664076.719254,NONE
336,1771664076.787320,LEFT
337,1771664076.854263,NONE
338,1771664076.921848,NONE
339,1771664076.989482,NONE
340,1771664077.056843,NONE
341,1771664077.124260,NONE
342,1771664077.192457,NONE
343,1771664077.260457,NONE
344,1771664077.327983,NONE
345,1771664077.395798,NONE
346,1771664077.463230,NONE
347,1771664077.531312,NONE
348,1771664077.598740,NONE
349,1771664077.666135,NONE
350,1771664077.733165,NONE
351,1771664077.800631,NONE
352,1771664077.867319,NONE
353,1771664077.935436,NONE
354,1771664078.003282,NONE
355,1771664078.071167,NONE
356,1771664078.138449,NONE
357,1771664078.205532,NONE
358,1771664078.272996,NONE
359,1771664078.340422,NONE
360,1771664078.407840,NONE
361,1771664078.475005,NONE
362,1771664078.542245,NONE
363,1771664078.609791,NONE
364,1771664078.676787,NONE
365,1771664078.744552,NONE
366,1771664078.811679,NONE
367,1771664078.879282,NONE
368,1771664078.946753,NONE
369,1771664079.014343,NONE
370,1771664079.081235,NONE
371,1771664079.149392,NONE
372,1771664079.216793,NONE
373,1771664079.283944,NONE
374,1771664079.351788,NONE
375,1771664079.418609,NONE
376,1771664079.486081,NONE
377,1771664079.553320,NONE
378,1771664079.620366,NONE
379,1771664079.688372,NONE
380,1771664079.756215,NONE
381,1771664079.824367,NONE
382,1771664079.891836,NONE
383,1771664079.958619,NONE
384,1771664080.025995,NONE
385,1771664080.093032,NONE
386,1771664080.160400,NONE
387,1771664080.227388,NONE
388,1771664080.294062,NONE
389,1771664080.360949,NONE
390,1771664080.428100,NONE
391,1771664080.495325,NONE
392,1771664080.562537,NONE
393,1771664080.629463,NONE
394,1771664080.697287,NONE
395,1771664080.765328,NONE
396,1771664080.832361,NONE
397,1771664080.899229,NONE
398,1771664080.967177,NONE
399,1771664081.035260,NONE
400,1771664081.102553,NONE
401,1771664081.170536,NONE
402,1771664081.238724,NONE
403,1771664081.305864,NONE
404,1771664081.373323,NONE
405,1771664081.441517,NONE
406,1771664081.509653,NONE
407,1771664081.577587,NONE
408,1771664081.644823,NONE
409,1771664081.712350,NONE
410,1771664081.780512,NONE
411,1771664081.847266,NONE
412,1771664081.914063,NONE
413,1771664081.981084,NONE
414,1771664082.048134,NONE
415,1771664082.115176,NONE
416,1771664082.182633,NONE
417,1771664082.250254,NONE
418,1771664082.318003,NONE
419,1771664082.385861,NONE
420,1771664082.453433,NONE
421,1771664082.520269,NONE
422,1771664082.587608,NONE
423,1771664082.655071,NONE
424,1771664082.722006,NONE
425,1771664082.789183,NONE
426,1771664082.856931,NONE
427,1771664082.925143,NONE
428,1771664082.993263,NONE
429,1771664083.061187,NONE
430,1771664083.128697,NONE
431,1771664083.196004,NONE
432,1771664083.263991,NONE
433,1771664083.331358,NONE
434,1771664083.399194,NONE
435,1771664083.466890,NONE
436,1771664083.534518,NONE
437,1771664083.601902,NONE
438,1771664083.669219,NONE
439,1771664083.736676,NONE
440,1771664083.803349,NONE
441,1771664083.870952,NONE
442,1771664083.939162,NONE
443,1771664084.005889,NONE
444,1771664084.072875,NONE
445,1771664084.139704,NONE
446,1771664084.206901,NONE
447,1771664084.274439,NONE
448,1771664084.342380,NONE
449,1771664084.410486,NONE
450,1771664084.478324,NONE
451,1771664084.546309,NONE
452,1771664084.613056,NONE
453,1771664084.680163,NONE
454,1771664084.747050,NONE
455,1771664084.814231,NONE
456,1771664084.882276,NONE
457,1771664084.949214,NONE
458,1771664085.016756,NONE
459,1771664085.083970,NONE
460,1771664085.151019,NONE
461,1771664085.217706,NONE
462,1771664085.284816,NONE
463,1771664085.352531,NONE
464,1771664085.419957,NONE
465,1771664085.486686,NONE
466,1771664085.554482,NONE
467,1771664085.621700,NONE
468,1771664085.688668,NONE
469,1771664085.756766,NONE
470,1771664085.824387,NONE
471,1771664085.891457,NONE
472,1771664085.958506,NONE
473,1771664086.025247,NONE
474,1771664086.092577,NONE
475,1771664086.160072,NONE
476,1771664086.227168,NONE
477,1771664086.294767,NONE
478,1771664086.362060,NONE
479,1771664086.430171,NONE
480,1771664086.497866,NONE
481,1771664086.564607,NONE
482,1771664086.631595,NONE
483,1771664086.699122,NONE
484,1771664086.766849,NONE
485,1771664086.834615,NONE
